Name,HEX,RGB,shininess,imo
White,#FFFFFF,"rgb(100,100,100)",bright,white.png
Silver,#C0C0C0,"rgb(75,75,75)",bright,silver.jpg
Gray,#808080,"rgb(50,50,50)",dull,grey.jpg
Black,#000000,"rgb(0,0,0)",dull,black.png
Red,#FF0000,"rgb(100,0,0)",bright,red.png
Maroon,#800000,"rgb(50,0,0)",bright,maroon.png
Yellow,#FFFF00,"rgb(100,100,0)",bright,yellow.jpg
Olive,#808000,"rgb(50,50,0)",dull,olive.jpg
Lime,#00FF00,"rgb(0,100,0)",bright,lime.png
Green,#008000,"rgb(0,50,0)",bright,green.jpg
Aqua,#00FFFF,"rgb(0,100,100)",bright,aqua.png
Teal,#008080,"rgb(0,50,50)",dull,teal.png
Blue,#0000FF,"rgb(0,0,100)",dull,blue.png
Navy,#000080,"rgb(0,0,50)",dull,navy.png
Fuchsia,#FF00FF,"rgb(100,0,100)",bright,fuchia.png
Purple,#800080,"rgb(50,0,50)",bright,purple.png